posting_id,role,skill_id,name,facet,ai_era
104:8wn1i,backend,mysql,MySQL,2,False
104:8wn1i,backend,php,PHP,9,False
104:8m4mk,data_analyst,python,Python,1,False
104:8m4mk,data_analyst,sql,SQL,1,False
104:8m4mk,data_analyst,etl,ETL/ELT,2,False
104:8m4mk,data_analyst,mysql,MySQL,2,False
104:8m4mk,data_analyst,machine_learning,Machine Learning (general),3,False
104:8m4mk,data_analyst,statistics,Statistics,3,False
104:8m4mk,data_analyst,azure,Azure,7,False
104:8m4mk,data_analyst,power_bi,Power BI,8,False
104:8m4mk,data_analyst,tableau,Tableau,8,False
104:8m4mk,data_analyst,php,PHP,9,False
104:8waxf,data_engineer,python,Python,1,False
104:8waxf,data_engineer,sql,SQL,1,False
104:8waxf,data_engineer,airflow,Airflow,2,False
104:8waxf,data_engineer,etl,ETL/ELT,2,False
104:8waxf,data_engineer,mysql,MySQL,2,False
104:8waxf,data_engineer,postgresql,PostgreSQL,2,False
104:8waxf,data_engineer,statistics,Statistics,3,False
104:8waxf,data_engineer,aws,AWS,7,False
104:8waxf,data_engineer,azure,Azure,7,False
104:8waxf,data_engineer,gcp,GCP,7,False
104:8waxf,data_engineer,dashboard,Dashboarding,8,False
104:8waxf,data_engineer,php,PHP,9,False
104:92847,data_engineer,python,Python,1,False
104:92847,data_engineer,sql,SQL,1,False
104:92847,data_engineer,airflow,Airflow,2,False
104:92847,data_engineer,elasticsearch,Elasticsearch,2,False
104:92847,data_engineer,etl,ETL/ELT,2,False
104:92847,data_engineer,mysql,MySQL,2,False
104:92847,data_engineer,ci_cd,CI/CD,6,False
104:92847,data_engineer,docker,Docker,6,False
104:92847,data_engineer,fastapi,FastAPI,6,False
104:92847,data_engineer,aws,AWS,7,False
104:92847,data_engineer,gcp,GCP,7,False
104:92847,data_engineer,flask,Flask,9,False
104:92847,data_engineer,php,PHP,9,False
104:92847,data_engineer,rest_api,REST API,9,False
104:8wrnj,backend,golang,Go,1,False
104:8wrnj,backend,python,Python,1,False
104:8wrnj,backend,aws,AWS,7,False
104:8wrnj,backend,azure,Azure,7,False
104:8wrnj,backend,gcp,GCP,7,False
104:8wrnj,backend,php,PHP,9,False
104:92ier,data_scientist,python,Python,1,False
104:92ier,data_scientist,redis,Redis,2,False
104:92ier,data_scientist,machine_learning,Machine Learning (general),3,False
104:92ier,data_scientist,scikit_learn,scikit-learn,3,False
104:92ier,data_scientist,statistics,Statistics,3,False
104:92ier,data_scientist,nlp,NLP,4,False
104:92ier,data_scientist,llm,Large Language Models,5,True
104:92ier,data_scientist,docker,Docker,6,False
104:92ier,data_scientist,aws,AWS,7,False
104:92ier,data_scientist,php,PHP,9,False
104:7njt5,data_engineer,python,Python,1,False
104:7njt5,data_engineer,sql,SQL,1,False
104:7njt5,data_engineer,data_warehouse,Data Warehouse,2,False
104:7njt5,data_engineer,etl,ETL/ELT,2,False
104:7njt5,data_engineer,machine_learning,Machine Learning (general),3,False
104:91q0a,data_engineer,etl,ETL/ELT,2,False
104:91q0a,data_engineer,power_bi,Power BI,8,False
104:91q0a,data_engineer,dotnet,.NET,9,False
104:8xujh,data_engineer,python,Python,1,False
104:8xujh,data_engineer,sql,SQL,1,False
104:8xujh,data_engineer,airflow,Airflow,2,False
104:8xujh,data_engineer,kafka,Apache Kafka,2,False
104:8xujh,data_engineer,spark,Apache Spark,2,False
104:8xujh,data_engineer,etl,ETL/ELT,2,False
104:8xujh,data_engineer,mongodb,MongoDB,2,False
104:8xujh,data_engineer,mysql,MySQL,2,False
104:8xujh,data_engineer,nosql,NoSQL,2,False
104:8xujh,data_engineer,postgresql,PostgreSQL,2,False
104:8xujh,data_engineer,machine_learning,Machine Learning (general),3,False
104:8xujh,data_engineer,langchain,LangChain,5,True
104:8xujh,data_engineer,llm,Large Language Models,5,True
104:8xujh,data_engineer,llamaindex,LlamaIndex,5,True
104:8xujh,data_engineer,rag,RAG,5,True
104:8xujh,data_engineer,vector_db,Vector Database,5,True
104:8xujh,data_engineer,aws,AWS,7,False
104:92g11,ai_engineer,python,Python,1,False
104:92g11,ai_engineer,llm,Large Language Models,5,True
104:7v0e3,data_engineer,java,Java,1,False
104:7v0e3,data_engineer,python,Python,1,False
104:7v0e3,data_engineer,sql,SQL,1,False
104:7v0e3,data_engineer,bigquery,BigQuery,2,False
104:7v0e3,data_engineer,etl,ETL/ELT,2,False
